fvcmean_id,region_id,region_name,year,fvc_mean
1,530000,云南省,2013,0.61303125
2,530000,云南省,2014,0.6114375
3,530000,云南省,2015,0.7384
4,530000,云南省,2016,0.73930625
5,530000,云南省,2017,0.7666625
6,530000,云南省,2018,0.7584125
7,530000,云南省,2019,0.74551875
8,530000,云南省,2020,0.75214375
9,530000,云南省,2021,0.77169375
10,530000,云南省,2022,0.76921875
