fvcmean_id,region_id,region_name,year,fvc_mean
0001,530500,保山市,2013,0.6178
0002,532300,楚雄彝族自治州,2013,0.4892
0003,532900,大理白族自治州,2013,0.5321
0004,533100,德宏傣族景颇族自治州,2013,0.6821
0005,533400,迪庆藏族自治州,2013,0.5566
0006,532500,红河哈尼族彝族自治州,2013,0.6359
0007,530100,昆明市,2013,0.5415
0008,530700,丽江市,2013,0.5421
0009,530900,临沧市,2013,0.603
0010,533300,怒江傈僳族自治州,2013,0.6865
0011,530800,普洱市,2013,0.6191
0012,530300,曲靖市,2013,0.5918
0013,532600,文山壮族苗族自治州,2013,0.654
0014,532800,西双版纳傣族自治州,2013,0.743
0015,530400,玉溪市,2013,0.5358
0016,530600,昭通市,2013,0.778
0017,530500,保山市,2014,0.5768
0018,532300,楚雄彝族自治州,2014,0.4828
0019,532900,大理白族自治州,2014,0.5327
0020,533100,德宏傣族景颇族自治州,2014,0.643
0021,533400,迪庆藏族自治州,2014,0.5847
0022,532500,红河哈尼族彝族自治州,2014,0.6237
0023,530100,昆明市,2014,0.5279
0024,530700,丽江市,2014,0.5577
0025,530900,临沧市,2014,0.605
0026,533300,怒江傈僳族自治州,2014,0.6998
0027,530800,普洱市,2014,0.6258
0028,530300,曲靖市,2014,0.5909
0029,532600,文山壮族苗族自治州,2014,0.6603
0030,532800,西双版纳傣族自治州,2014,0.7354
0031,530400,玉溪市,2014,0.5441
0032,530600,昭通市,2014,0.7924
0033,530500,保山市,2015,0.685
0034,532300,楚雄彝族自治州,2015,0.6669
0035,532900,大理白族自治州,2015,0.6697
0036,533100,德宏傣族景颇族自治州,2015,0.7278
0037,533400,迪庆藏族自治州,2015,0.677
0038,532500,红河哈尼族彝族自治州,2015,0.7524
0039,530100,昆明市,2015,0.6961
0040,530700,丽江市,2015,0.6749
0041,530900,临沧市,2015,0.7576
0042,533300,怒江傈僳族自治州,2015,0.7454
0043,530800,普洱市,2015,0.7951
0044,530300,曲靖市,2015,0.7621
0045,532600,文山壮族苗族自治州,2015,0.8147
0046,532800,西双版纳傣族自治州,2015,0.8492
0047,530400,玉溪市,2015,0.7011
0048,530600,昭通市,2015,0.8394
0049,530500,保山市,2016,0.6736
0050,532300,楚雄彝族自治州,2016,0.6909
0051,532900,大理白族自治州,2016,0.6593
0052,533100,德宏傣族景颇族自治州,2016,0.7235
0053,533400,迪庆藏族自治州,2016,0.6826
0054,532500,红河哈尼族彝族自治州,2016,0.7666
0055,530100,昆明市,2016,0.7089
0056,530700,丽江市,2016,0.6763
0057,530900,临沧市,2016,0.7216
0058,533300,怒江傈僳族自治州,2016,0.7629
0059,530800,普洱市,2016,0.7939
0060,530300,曲靖市,2016,0.7674
0061,532600,文山壮族苗族自治州,2016,0.8188
0062,532800,西双版纳傣族自治州,2016,0.8402
0063,530400,玉溪市,2016,0.7024
0064,530600,昭通市,2016,0.84
0065,530500,保山市,2017,0.7452
0066,532300,楚雄彝族自治州,2017,0.7254
0067,532900,大理白族自治州,2017,0.7302
0068,533100,德宏傣族景颇族自治州,2017,0.7773
0069,533400,迪庆藏族自治州,2017,0.7028
0070,532500,红河哈尼族彝族自治州,2017,0.7788
0071,530100,昆明市,2017,0.7202
0072,530700,丽江市,2017,0.7494
0073,530900,临沧市,2017,0.7521
0074,533300,怒江傈僳族自治州,2017,0.7762
0075,530800,普洱市,2017,0.7965
0076,530300,曲靖市,2017,0.7788
0077,532600,文山壮族苗族自治州,2017,0.823
0078,532800,西双版纳傣族自治州,2017,0.8329
0079,530400,玉溪市,2017,0.7194
0080,530600,昭通市,2017,0.8584
0081,530500,保山市,2018,0.7652
0082,532300,楚雄彝族自治州,2018,0.6959
0083,532900,大理白族自治州,2018,0.713
0084,533100,德宏傣族景颇族自治州,2018,0.8157
0085,533400,迪庆藏族自治州,2018,0.7033
0086,532500,红河哈尼族彝族自治州,2018,0.7709
0087,530100,昆明市,2018,0.717
0088,530700,丽江市,2018,0.6982
0089,530900,临沧市,2018,0.7458
0090,533300,怒江傈僳族自治州,2018,0.7801
0091,530800,普洱市,2018,0.7791
0092,530300,曲靖市,2018,0.7718
0093,532600,文山壮族苗族自治州,2018,0.8031
0094,532800,西双版纳傣族自治州,2018,0.8237
0095,530400,玉溪市,2018,0.6943
0096,530600,昭通市,2018,0.8575
0097,530500,保山市,2019,0.7403
0098,532300,楚雄彝族自治州,2019,0.6583
0099,532900,大理白族自治州,2019,0.702
0100,533100,德宏傣族景颇族自治州,2019,0.7851
0101,533400,迪庆藏族自治州,2019,0.6837
0102,532500,红河哈尼族彝族自治州,2019,0.7532
0103,530100,昆明市,2019,0.7071
0104,530700,丽江市,2019,0.699
0105,530900,临沧市,2019,0.7559
0106,533300,怒江傈僳族自治州,2019,0.7464
0107,530800,普洱市,2019,0.7708
0108,530300,曲靖市,2019,0.7659
0109,532600,文山壮族苗族自治州,2019,0.8059
0110,532800,西双版纳傣族自治州,2019,0.8243
0111,530400,玉溪市,2019,0.6743
0112,530600,昭通市,2019,0.8561
0113,530500,保山市,2020,0.76
0114,532300,楚雄彝族自治州,2020,0.6519
0115,532900,大理白族自治州,2020,0.683
0116,533100,德宏傣族景颇族自治州,2020,0.8324
0117,533400,迪庆藏族自治州,2020,0.688
0118,532500,红河哈尼族彝族自治州,2020,0.7597
0119,530100,昆明市,2020,0.7072
0120,530700,丽江市,2020,0.6999
0121,530900,临沧市,2020,0.7491
0122,533300,怒江傈僳族自治州,2020,0.7752
0123,530800,普洱市,2020,0.7792
0124,530300,曲靖市,2020,0.7785
0125,532600,文山壮族苗族自治州,2020,0.8122
0126,532800,西双版纳傣族自治州,2020,0.8228
0127,530400,玉溪市,2020,0.6758
0128,530600,昭通市,2020,0.8594
0129,530500,保山市,2021,0.7836
0130,532300,楚雄彝族自治州,2021,0.6913
0131,532900,大理白族自治州,2021,0.7208
0132,533100,德宏傣族景颇族自治州,2021,0.8361
