coverage_id,region_id,region_name,level,year,fvc_level,area_km2,level_name
0095,532924,宾川县,3,2013,高,283.6773,县级
0096,530927,沧源佤族自治县,3,2013,低,34.1748,县级
0097,530927,沧源佤族自治县,3,2013,中低,113.6061,县级
0098,530927,沧源佤族自治县,3,2013,中,525.2985,县级
0099,530927,沧源佤族自治县,3,2013,中高,919.728,县级
0100,530927,沧源佤族自治县,3,2013,高,903.3687,县级
0101,530524,昌宁县,3,2013,低,171.3222,县级
0102,530524,昌宁县,3,2013,中低,262.359,县级
0103,530524,昌宁县,3,2013,中,684.756,县级
0104,530524,昌宁县,3,2013,中高,1392.4386,县级
0105,530524,昌宁县,3,2013,高,1288.575,县级
0106,530114,呈贡区,3,2013,低,122.4747,县级
0107,530114,呈贡区,3,2013,中低,74.6091,县级
0108,530114,呈贡区,3,2013,中,92.7027,县级
0109,530114,呈贡区,3,2013,中高,126.2637,县级
0110,530114,呈贡区,3,2013,高,95.9184,县级
0111,530481,澄江市,3,2013,低,181.5705,县级
0112,530481,澄江市,3,2013,中低,76.5972,县级
0113,530481,澄江市,3,2013,中,117.4608,县级
0114,530481,澄江市,3,2013,中高,163.0944,县级
0115,530481,澄江市,3,2013,高,220.6863,县级
0116,532301,楚雄市,3,2013,低,337.4235,县级
0117,532301,楚雄市,3,2013,中低,544.6071,县级
0118,532301,楚雄市,3,2013,中,1111.3389,县级
0119,532301,楚雄市,3,2013,中高,1714.4649,县级
0120,532301,楚雄市,3,2013,高,746.559,县级
0121,530624,大关县,3,2013,低,7.1757,县级
0122,530624,大关县,3,2013,中低,5.994,县级
0123,530624,大关县,3,2013,中,15.4737,县级
0124,530624,大关县,3,2013,中高,146.5533,县级
0125,530624,大关县,3,2013,高,1549.989,县级
0126,532901,大理市,3,2013,低,390.1734,县级
0127,532901,大理市,3,2013,中低,139.9626,县级
0128,532901,大理市,3,2013,中,274.0824,县级
0129,532901,大理市,3,2013,中高,451.0638,县级
0130,532901,大理市,3,2013,高,497.0277,县级
0131,532326,大姚县,3,2013,低,193.9653,县级
0132,532326,大姚县,3,2013,中低,392.4972,县级
0133,532326,大姚县,3,2013,中,1017.1764,县级
0134,532326,大姚县,3,2013,中高,1661.9841,县级
0135,532326,大姚县,3,2013,高,780.2541,县级
0136,533422,德钦县,3,2013,低,1310.8311,县级
0137,533422,德钦县,3,2013,中低,885.2463,县级
0138,533422,德钦县,3,2013,中,1231.4943,县级
0139,533422,德钦县,3,2013,中高,1833.1407,县级
0140,533422,德钦县,3,2013,高,2102.2686,县级
0141,530113,东川区,3,2013,低,45.7362,县级
0142,530113,东川区,3,2013,中低,105.2622,县级
0143,530113,东川区,3,2013,中,384.8508,县级
0144,530113,东川区,3,2013,中高,798.4341,县级
0145,530113,东川区,3,2013,高,540.1782,县级
0146,530426,峨山彝族自治县,3,2013,低,127.6929,县级
0147,530426,峨山彝族自治县,3,2013,中低,192.3849,县级
0148,530426,峨山彝族自治县,3,2013,中,467.1261,县级
0149,530426,峨山彝族自治县,3,2013,中高,759.1869,县级
0150,530426,峨山彝族自治县,3,2013,高,391.3128,县级
0151,532930,洱源县,3,2013,低,157.1229,县级
0152,532930,洱源县,3,2013,中低,212.4432,县级
0153,532930,洱源县,3,2013,中,492.8121,县级
0154,532930,洱源县,3,2013,中高,893.403,县级
0155,532930,洱源县,3,2013,高,795.1005,县级
0156,530921,凤庆县,3,2013,低,177.1857,县级
0157,530921,凤庆县,3,2013,中低,259.8453,县级
0158,530921,凤庆县,3,2013,中,646.4313,县级
0159,530921,凤庆县,3,2013,中高,1107.018,县级
0160,530921,凤庆县,3,2013,高,1159.542,县级
0161,533323,福贡县,3,2013,低,154.7334,县级
0162,533323,福贡县,3,2013,中低,123.0957,县级
0163,533323,福贡县,3,2013,中,275.5431,县级
0164,533323,福贡县,3,2013,中高,633.4767,县级
0165,533323,福贡县,3,2013,高,1584.4725,县级
0166,530124,富民县,3,2013,低,56.4201,县级
0167,530124,富民县,3,2013,中低,107.577,县级
0168,530124,富民县,3,2013,中,234.7173,县级
0169,530124,富民县,3,2013,中高,369.729,县级
0170,530124,富民县,3,2013,高,233.6013,县级
0171,532628,富宁县,3,2013,低,68.337,县级
0172,532628,富宁县,3,2013,中低,48.0789,县级
0173,532628,富宁县,3,2013,中,230.67,县级
0174,532628,富宁县,3,2013,中高,1295.0289,县级
0175,532628,富宁县,3,2013,高,3649.9914,县级
0176,530325,富源县,3,2013,低,105.3099,县级
0177,530325,富源县,3,2013,中低,183.5172,县级
0178,530325,富源县,3,2013,中,481.2444,县级
0179,530325,富源县,3,2013,中高,1156.3038,县级
0180,530325,富源县,3,2013,高,1335.2409,县级
0181,532501,个旧市,3,2013,低,68.2929,县级
0182,532501,个旧市,3,2013,中低,106.9497,县级
0183,532501,个旧市,3,2013,中,229.2921,县级
0184,532501,个旧市,3,2013,中高,409.5189,县级
0185,532501,个旧市,3,2013,高,749.8908,县级
0186,530926,耿马傣族佤族自治县,3,2013,低,50.4261,县级
0187,530926,耿马傣族佤族自治县,3,2013,中低,123.165,县级
0188,530926,耿马傣族佤族自治县,3,2013,中,713.232,县级
0189,530926,耿马傣族佤族自治县,3,2013,中高,1407.2517,县级
0190,530926,耿马傣族佤族自治县,3,2013,高,1478.3859,县级
0191,533324,贡山独龙族怒族自治县,3,2013,低,655.4223,县级
0192,533324,贡山独龙族怒族自治县,3,2013,中低,163.6893,县级
0193,533324,贡山独龙族怒族自治县,3,2013,中,306.0891,县级
0194,533324,贡山独龙族怒族自治县,3,2013,中高,628.497,县级
0195,533324,贡山独龙族怒族自治县,3,2013,高,2675.4822,县级
0196,530702,古城区,3,2013,低,62.7399,县级
0197,530702,古城区,3,2013,中低,91.9611,县级
0198,530702,古城区,3,2013,中,245.6478,县级
0199,530702,古城区,3,2013,中高,533.7108,县级
0200,530702,古城区,3,2013,高,342.1908,县级
0201,530111,官渡区,3,2013,低,116.8128,县级
0202,530111,官渡区,3,2013,中低,104.3739,县级
0203,530111,官渡区,3,2013,中,98.7003,县级
0204,530111,官渡区,3,2013,中高,133.9839,县级
0205,530111,官渡区,3,2013,高,183.1158,县级
0206,532627,广南县,3,2013,低,166.4235,县级
0207,532627,广南县,3,2013,中低,278.0586,县级
0208,532627,广南县,3,2013,中,785.2284,县级
0209,532627,广南县,3,2013,中高,2056.6827,县级
0210,532627,广南县,3,2013,高,4443.5349,县级
0211,532532,河口瑶族自治县,3,2013,低,17.2143,县级
0212,532532,河口瑶族自治县,3,2013,中低,31.6224,县级
0213,532532,河口瑶族自治县,3,2013,中,129.3264,县级
0214,532532,河口瑶族自治县,3,2013,中高,421.0956,县级
0215,532532,河口瑶族自治县,3,2013,高,730.9998,县级
0216,532932,鹤庆县,3,2013,低,198.7794,县级
0217,532932,鹤庆县,3,2013,中低,393.894,县级
0218,532932,鹤庆县,3,2013,中,665.1225,县级
0219,532932,鹤庆县,3,2013,中高,791.1594,县级
0220,532932,鹤庆县,3,2013,高,331.1622,县级
0221,532529,红河县,3,2013,低,36.1062,县级
0222,532529,红河县,3,2013,中低,73.6002,县级
0223,532529,红河县,3,2013,中,236.9205,县级
0224,532529,红河县,3,2013,中高,583.5312,县级
0225,532529,红河县,3,2013,高,1106.1693,县级
0226,530402,红塔区,3,2013,低,109.9827,县级
0227,530402,红塔区,3,2013,中低,118.8621,县级
0228,530402,红塔区,3,2013,中,165.8835,县级
0229,530402,红塔区,3,2013,中高,282.0645,县级
0230,530402,红塔区,3,2013,高,275.8851,县级
0231,530424,华宁县,3,2013,低,125.1549,县级
0232,530424,华宁县,3,2013,中低,200.5704,县级
0233,530424,华宁县,3,2013,中,279.0837,县级
0234,530424,华宁县,3,2013,中高,308.7225,县级
0235,530424,华宁县,3,2013,高,339.4683,县级
0236,530723,华坪县,3,2013,低,65.187,县级
0237,530723,华坪县,3,2013,中低,201.3678,县级
0238,530723,华坪县,3,2013,中,623.853,县级
0239,530723,华坪县,3,2013,中高,874.2888,县级
0240,530723,华坪县,3,2013,高,386.442,县级
0241,530326,会泽县,3,2013,低,81.4158,县级
0242,530326,会泽县,3,2013,中低,224.7372,县级
0243,530326,会泽县,3,2013,中,899.1342,县级
0244,530326,会泽县,3,2013,中高,2658.3084,县级
0245,530326,会泽县,3,2013,高,2027.5299,县级
0246,532524,建水县,3,2013,低,149.2146,县级
0247,532524,建水县,3,2013,中低,423.8019,县级
0248,532524,建水县,3,2013,中,1007.0703,县级
0249,532524,建水县,3,2013,中高,1181.8809,县级
0250,532524,建水县,3,2013,高,1028.2464,县级
0251,532931,剑川县,3,2013,低,42.3018,县级
0252,532931,剑川县,3,2013,中低,126.8694,县级
0253,532931,剑川县,3,2013,中,405.3825,县级
0254,532931,剑川县,3,2013,中高,1030.0905,县级
0255,532931,剑川县,3,2013,高,649.1745,县级
0256,530826,江城哈尼族彝族自治县,3,2013,低,45.7056,县级
0257,530826,江城哈尼族彝族自治县,3,2013,中低,70.7301,县级
0258,530826,江城哈尼族彝族自治县,3,2013,中,272.3265,县级
0259,530826,江城哈尼族彝族自治县,3,2013,中高,929.6415,县级
0260,530826,江城哈尼族彝族自治县,3,2013,高,2118.7188,县级
0261,530403,江川区,3,2013,低,195.7878,县级
0262,530403,江川区,3,2013,中低,124.5258,县级
0263,530403,江川区,3,2013,中,167.904,县级
0264,530403,江川区,3,2013,中高,192.5172,县级
0265,530403,江川区,3,2013,高,131.7231,县级
0266,532530,金平苗族瑶族傣族自治县,3,2013,低,45.0819,县级
0267,532530,金平苗族瑶族傣族自治县,3,2013,中低,48.537,县级
0268,532530,金平苗族瑶族傣族自治县,3,2013,中,181.0755,县级
0269,532530,金平苗族瑶族傣族自治县,3,2013,中高,710.1225,县级
0270,532530,金平苗族瑶族傣族自治县,3,2013,高,2593.6155,县级
0271,530115,晋宁区,3,2013,低,183.1995,县级
0272,530115,晋宁区,3,2013,中低,134.4402,县级
0273,530115,晋宁区,3,2013,中,244.7559,县级
0274,530115,晋宁区,3,2013,中高,405.2718,县级
0275,530115,晋宁区,3,2013,高,372.6063,县级
0276,530823,景东彝族自治县,3,2013,低,126.5598,县级
0277,530823,景东彝族自治县,3,2013,中低,215.6751,县级
0278,530823,景东彝族自治县,3,2013,中,600.4116,县级
0279,530823,景东彝族自治县,3,2013,中高,1704.3705,县级
0280,530823,景东彝族自治县,3,2013,高,1834.3206,县级
0281,530824,景谷傣族彝族自治县,3,2013,低,202.014,县级
0282,530824,景谷傣族彝族自治县,3,2013,中低,350.8569,县级
0283,530824,景谷傣族彝族自治县,3,2013,中,1517.5629,县级
0284,530824,景谷傣族彝族自治县,3,2013,中高,3311.2116,县级
0285,530824,景谷傣族彝族自治县,3,2013,高,2178.3933,县级
0286,532801,景洪市,3,2013,低,124.9866,县级
0287,532801,景洪市,3,2013,中低,195.9327,县级
0288,532801,景洪市,3,2013,中,645.6987,县级
0289,532801,景洪市,3,2013,中高,1820.6307,县级
0290,532801,景洪市,3,2013,高,4098.3543,县级
0291,532502,开远市,3,2013,低,78.2055,县级
0292,532502,开远市,3,2013,中低,231.7104,县级
0293,532502,开远市,3,2013,中,573.9534,县级
