region_code,region_name,year,temp_mean,pre_mean
530500,保山市,2013,8.467,375.578
532300,楚雄彝族自治州,2013,10.474,272.5492
532900,大理白族自治州,2013,8.5,298.9714
533100,德宏傣族景颇族自治州,2013,10.686,594.825
533400,迪庆藏族自治州,2013,3.126,223.0242
532500,红河哈尼族彝族自治州,2013,8.641,318.8577
530100,昆明市,2013,8.544,253.8872
530700,丽江市,2013,5.647,196.6923
530900,临沧市,2013,10.633,442.2607
533300,怒江傈僳族自治州,2013,3.168,192.6099
530800,普洱市,2013,8.52,368.788
530300,曲靖市,2013,7.611,259.1281
532600,文山壮族苗族自治州,2013,10.082,394.8217
532800,西双版纳傣族自治州,2013,12.621,637.7336
530400,玉溪市,2013,7.628,233.9603
530600,昭通市,2013,5.239,182.5901
530500,保山市,2014,8.641,363.3161
532300,楚雄彝族自治州,2014,10.768,287.9534
532900,大理白族自治州,2014,8.73,283.3964
533100,德宏傣族景颇族自治州,2014,10.792,586.0736
533400,迪庆藏族自治州,2014,3.23,242.7215
532500,红河哈尼族彝族自治州,2014,9.079,348.2262
530100,昆明市,2014,8.783,305.8286
530700,丽江市,2014,5.862,200.8027
530900,临沧市,2014,10.916,420.3185
533300,怒江傈僳族自治州,2014,3.23,197.8249
530800,普洱市,2014,8.767,356.1922
530300,曲靖市,2014,7.854,336.56
532600,文山壮族苗族自治州,2014,10.561,477.1095
532800,西双版纳傣族自治州,2014,13.158,621.1079
530400,玉溪市,2014,7.952,251.531
530600,昭通市,2014,5.35,248.0681
530500,保山市,2015,8.6,383.6112
532300,楚雄彝族自治州,2015,10.683,329.7112
532900,大理白族自治州,2015,8.654,307.2419
533100,德宏傣族景颇族自治州,2015,10.792,593.8422
533400,迪庆藏族自治州,2015,3.217,256.8657
532500,红河哈尼族彝族自治州,2015,8.956,394.3338
530100,昆明市,2015,8.85,317.4479
530700,丽江市,2015,5.774,224.7749
530900,临沧市,2015,10.814,479.8864
533300,怒江傈僳族自治州,2015,3.236,202.0368
530800,普洱市,2015,8.676,426.2405
530300,曲靖市,2015,7.897,334.4348
532600,文山壮族苗族自治州,2015,10.494,497.1001
532800,西双版纳傣族自治州,2015,12.948,728.252
530400,玉溪市,2015,7.846,293.1166
530600,昭通市,2015,5.463,250.8275
530500,保山市,2016,8.654,357.6118
532300,楚雄彝族自治州,2016,10.818,366.3723
532900,大理白族自治州,2016,8.729,318.9046
533100,德宏傣族景颇族自治州,2016,10.859,479.6491
533400,迪庆藏族自治州,2016,3.279,247.8028
532500,红河哈尼族彝族自治州,2016,9.021,416.7975
530100,昆明市,2016,8.896,399.5719
530700,丽江市,2016,5.827,234.1822
530900,临沧市,2016,10.883,448.7679
533300,怒江傈僳族自治州,2016,3.24,188.7396
530800,普洱市,2016,8.755,395.0555
530300,曲靖市,2016,7.976,433.9244
532600,文山壮族苗族自治州,2016,10.586,562.6327
532800,西双版纳傣族自治州,2016,13.037,655.1055
530400,玉溪市,2016,7.919,308.0987
530600,昭通市,2016,5.417,312.6529
530500,保山市,2017,8.563,439.7043
532300,楚雄彝族自治州,2017,10.774,373.7146
532900,大理白族自治州,2017,8.639,371.665
533100,德宏傣族景颇族自治州,2017,10.772,657.3756
533400,迪庆藏族自治州,2017,3.221,263.1027
532500,红河哈尼族彝族自治州,2017,9.138,446.1898
530100,昆明市,2017,9.041,401.3842
530700,丽江市,2017,5.812,245.7378
530900,临沧市,2017,10.825,500.0786
533300,怒江傈僳族自治州,2017,3.202,227.7611
530800,普洱市,2017,8.724,416.4783
530300,曲靖市,2017,8.112,439.7197
532600,文山壮族苗族自治州,2017,10.785,601.2965
532800,西双版纳傣族自治州,2017,13.138,697.088
530400,玉溪市,2017,7.961,328.2426
530600,昭通市,2017,5.532,299.8611
530500,保山市,2018,8.566,535.6365
532300,楚雄彝族自治州,2018,10.646,375.6655
532900,大理白族自治州,2018,8.587,413.0315
533100,德宏傣族景颇族自治州,2018,10.815,834.288
533400,迪庆藏族自治州,2018,3.206,311.8395
532500,红河哈尼族彝族自治州,2018,8.992,395.7716
530100,昆明市,2018,8.932,372.5204
530700,丽江市,2018,5.737,279.0207
530900,临沧市,2018,10.794,579.5671
533300,怒江傈僳族自治州,2018,3.215,272.7144
530800,普洱市,2018,8.657,442.5988
530300,曲靖市,2018,7.975,381.3271
532600,文山壮族苗族自治州,2018,10.578,523.0057
532800,西双版纳傣族自治州,2018,12.996,739.4597
530400,玉溪市,2018,7.847,302.4392
530600,昭通市,2018,5.478,285.2647
530500,保山市,2019,8.529,470.0724
532300,楚雄彝族自治州,2019,10.595,385.1435
532900,大理白族自治州,2019,8.563,398.3028
533100,德宏傣族景颇族自治州,2019,10.76,681.5298
533400,迪庆藏族自治州,2019,3.199,313.4642
